modern_border,entry,previous_border,territory_of,year_start,year_end,"colonial (protectorate, colony, annexed, etc)",details
Germany,Germany,German Confederation,Germany,1815,1866,no,
Germany,Germany,German Empire,Germany,1848,1849,no,
Austria,Austria,Austro-Hungarian Empire,Austria,1867,1918,no,
Hungary,Hungary,Austro-Hungarian Empire,Hungary,1867,1918,no,
India,India,British India,UK,1858,1947,yes,
Madagascar,Madagascar,Madagascar,France,1890,1960,yes,
Germany,Germany,German Empire,Germany,1871,1918,no,
Romania,Romania (but then it was part of Hungary),Austro-Hungarian Empire,Hungary,1867,1939,yes,
Tanzania,Tanzania,German East Africa,Germany,1885,1918,yes,
South Africa,South Africa,South Africa (various names),UK,1815,1910,yes,
South Africa,South Africa,Union of South Africa,South Africa,1910,1961,yes,constitutional monarchy
Lesotho,Lesotho,Basutoland,UK,1869,1966,yes,
Egypt,Egypt,Egypt,UK,1882,1952,yes,
Tanzania,Tanzania,Tanganyika,UK,1916,1961,yes,
Mongolia,Mongolia,Bogd Khanate of Mongolia ,Mongolia,1921,1924,no,
Mongolia,Mongolia,Mongolia,Mongolia,1924,present,yes,Soviet satellite state until 1991
Algeria,Algeria,French Algeria,France,1830,1962,yes,
Namibia,Namibia,German South West Africa,Germany,1884,1915,yes,
Malawi,Malawi,Nyasaland ,UK,1907,1964,yes,
Poland,Poland,Poland,Poland,1945,present,yes,Soviet satellite state until 1991
Russia,Russia (then part of Japan),Japan,Japan,1905,1951,yes,
Kazakhstan,Kazakhstan,Kazakh Soviet Socialist Republic,USSR,1936,1991,yes,
Ukraine,"USSR (then), Ukraine/Russia (disputed now)",Ukrainian Soviet Socialist Republic,USSR,1919,1991,yes,
Georgia,USSR (Georgia),Georgian Soviet Socialist Republic,USSR,1921,1991,yes,
Morocco,Morocco,Morocco,France,1912,1956,yes,
Zimbabwe,Zimbabwe,Southern Rhodesia;Federation of Rhodesia and Nyasaland;Rhodesia,UK,1888,1980,yes,independence declared in 1965 but not recognised by UK until 1980
Zimbabwe,Zimbabwe (colonial),Southern Rhodesia/Federation of Rhodesia and Nyasaland/Rhodesia,UK,1888,1980,yes,
Uzbekistan,Uzbekistan,Uzbekistan,USSR,1876,1991,yes,
Russia,Russia,USSR,USSR,1922,1991,no,
Niger,Niger,French West Africa,France,1895,1960,yes,
Laos,Laos,French Laos,France,1893,1953,yes,
Kyrgyzstan,Kyrgyzstan,Kirghiz Soviet Socialist Republic,USSR,1936,1991,yes,
Angola,Angola,Portuguese Angola,Portugal,1575,1975,yes,
