"taxon_name","accepted_name","ref_author","ref_pubyr","primary_reference","phylum","class","order","family","genus","reference_no","taxon_no","data_enterer","zoobank","ref_language","group","taxon_status","type_locality","type_country","country_reposited","institution_reposited","holotype_number..separate.by...if.multiple.","sp_named_after","sp_language..if.another.language.but.latin.used.","sp_if_person_name","sp_if_person_gender","sp_gender_notes","sp_if_person_country","sp_if_person_country_notes","sp_notes","gen_named_after","gen_language..if.another.language.but.latin.used.","gen_if_person_name","gen_if_person_gender","gen_gender_notes","gen_if_person_country","gen_if_person_country_notes","gen_notes","affiliations_of_authors..separated.by...","countries_of_authors..separated.by...","modified.by","data_from_alternative_source","comments"
"Narindasaurus thevenini","Narindasaurus thevenini","Royo-Torres et al.","2021","R. Royo-Torres, A. Cobos, and P. Mocho, L. Alcalá. 2021. Origin and evolution of turiasaur dinosaurs set by means of a new ‘rosetta’ specimen from Spain. Zoological Journal of the Linnean Society 191(1):201-227","Chordata","Saurischia","Sauropoda","Turiasauria","Narindasaurus","73748","425749","Nussaïbah B. Raja","urn:lsid:zoobank.org:act:E3ED87DE-59E2-428C-B26E-0BBBFD38272B",NA,"dinosauria","valid","Ankinganivalaka, Madagascar","Madagascar","France","Muséum national d’Histoire naturelle","MNHN MAJ 423; MNHN MAJ 424; MNHN MAJ 426; MNHN MAJ 425; MNHN MAJ 427; MNHN MAJ 428; MNHN MAJ 429; MNHN MAJ 430","person",NA,"Armand Thevenin",NA,NA,"France",NA,"""French palaeontologist who was interested in the Jurassic dinosaurs of Madagascar at the beginning of the 20th century. He published the first elements of this sauropod in 1907""","location/geography","Malagasy",NA,NA,NA,NA,NA,"""The genus is named for Narinda Bay, close to the Ankinganivalaka site where the type specimen was found, and from Ancient Greek sa<U+1FE6><U+03C1><U+03BF><U+03C2> (saûros), lizard""","Fundación Conjunto Paleontológico de Teruel-Dinópolis/Museo Aragonés de Paleontología; Instituto Dom Luiz, Universidade de Lisboa; Grupo de Biología Evolutiva, UNED, Facultad de Ciencias, UNED","Spain; Portugal; Spain","Emanuel Tschopp","FALSE",NA
"Shri devi","Shri devi","Turner et al.","2021","A. H. Turner, S. Montanari, and M. A. Norell. 2021. A new dromaeosaurid from the Late Cretaceous Khulsan locality of Mongolia. American Museum Novitates 3965:1-46","Chordata","Saurischia","Avetheropoda","Dromaeosauridae","Shri","75171","431994","Nussaïbah B. Raja",NA,NA,"dinosauria","valid","Bayun Goyot Formation, Mongolia","Mongolia","Mongolia","Mongolian Institute of Geology","IGM  100/980","folklore/religion","Sanskrit","Shri devi",NA,NA,"Mongolia/Tibet",NA,"""Sanskrit for a female protector deity in Tibetan/Mongolian Bud-dhism, part  of  the  Gelug  tradition  and  particularly  venerated  in  Mongolia""","folklore/religion","Sanskrit","Shri devi",NA,NA,"Mongolia/Tibet",NA,"""Sanskrit for a female protector deity in Tibetan/Mongolian Bud-dhism, part  of  the  Gelug  tradition  and  particularly  venerated  in  Mongolia""","American Museum of Natural History & Department of Anatomical Sciences, Stony Brook University; American Museum of Natural History; American Museum of Natural History","USA",NA,"FALSE","collected in 1991 on joint American-Mongolian expedition"
"Changmiania liaoningensis","Changmiania liaoningensis","Yang et al.","2020","Y. Yang, W. Wu, and P.-E. Dieudonné, P. Godefroit. 2020. A new basal ornithopod dinosaur from the Lower Cretaceous of China. PeerJ 8:e9832:1-44","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Changmiania","73876","426830","Thomas Wong Hearing","urn:lsid:zoobank.org:act:0F980B4C-1EB3-4137-93FB-2C38008EE5E2",NA,"dinosauria","valid","Lujiatun, Shangyuan, Beipiao City, western Liaoning","China","China","Paleontological Museum of Liaoning, Shenyang","PMOL AD00114","location/geography","Chinese Pinyin",NA,NA,NA,NA,NA,NA,"behavioural characteristics","Chinese Pinyin",NA,NA,NA,NA,NA,"""Changmian: eternal sleep, in Chinese Pinyin""","College of Resources and Civil Engineering, Northeastern University, Shenyang, Liaoning, China; College of Paleontology, Shenyang Normal University, Shenyang, Liaoning, China; Key Laboratory for Evolution of Past Life and Change of Environment, Province of Liaoning, Shenyang Normal University, Shenyang, Liaoning, China; Key Laboratory for Evolution of Past Life and Environment in Northeast Asia, Ministry of Education, Jilin University, Changchun, Jilin, China; Research Center of Paleontology and Stratigraphy, Jilin University, Changchun, Jilin, China; Instituto de Investigación en Paleobiología y Geología, CONICET, Universidad Nacional de Río Negro, Rio Negro, Argentina; Directorate ‘Earth and History of Life’, Royal Belgian Institute of Natural Sciences, Brussels, Belgium","China; Argentina; Belgium",NA,"FALSE",NA
"Kompsornis longicaudus","Kompsornis longicaudus","Wang et al.","2020","X. Wang, J.-D. Huang, and M. Kundrát, A. Cau, X.-Y. Liu, Y. Wang, S.-B. Jua. 2020. A new jeholornithiform exhibits the earliest appearance of the fused sternum and pelvis in the evolution of avialan dinosaurs. Journal of Asian Earth Sciences 199:104401","Chordata","Saurischia","Jeholornithiformes","NO_FAMILY_SPECIFIED","Kompsornis","73836","426565","Thomas Wong Hearing","urn:lsid:zoobank.org:act:2BC3E869-511C-4CD3-9ED7-CADE620C4781",NA,"aves","valid","Lingyuan locality, western Liaoning, China","China","China","Not specified, but museum number suggests: Anhui Geological Museum","AGB-6997","morphological characteristics",NA,NA,NA,NA,NA,NA,"""Latin ‘longis’ (elongated) and ‘caudus’ (tail), referring to the relatively long tail vertebrae of the type specimen""","morphological characteristics","Greek",NA,NA,NA,NA,NA,"""the Greek ‘Kompsos’ (elegant or pretty) and ‘ornis’ (bird)""","Key Laboratory of Stratigraphy and Paleontology of the Ministry of Natural Resources, Institute of Geology, Chinese Academy of Geological Sciences, 26 Baiwanzhuang Road, Beijing 100037, China; Anhui Geological Museum, 999 Xianlonghu Road, Hefei 230031, Anhui, China; PaleoBioImaging Lab, Evolutionary Biodiversity Research Group, Center for Interdisciplinary Biosciences, Technology and Innovation Park, University of Pavol Jozef Šafárik, Jesenna 5, SK-04154 Košice, Slovak Republic; Independent, I-43125 Parma, Italy; China University of Geosciences, 29 Xueyuan Road, Beijing 100083, China","China; Slovak Republic; Italy",NA,"FALSE","Museum of holotype not specified but initials of museum number follow the institutional address of one of the authors (Anhui Geological Museum)"
"Khinganornis hulunbuirensis","Khinganornis hulunbuirensis","Wang et al.","2020","X. Wang, A. Cau, and M. Kundrát, L. M. Chiappe, Q. Ji, W. Wang, T. Li, W. Wu. 2020. A new advanced ornithuromorph bird from Inner Mongolia documents the\r\nnorthernmost geographic distribution of the Jehol paleornithofauna in China. Historical Biology","Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Khinganornis","71790","409760","Emma Dunne",NA,NA,"aves","valid","Pigeon Hill locality, Morin Dawa Daur Autonomous Banner, Hulunbuir City, Inner Mongolia Autonomous Region","China","China","Hebei GEO University","SGM-AVE-2017001","location/geography",NA,NA,NA,NA,"China",NA,NA,"location/geography",NA,NA,NA,NA,NA,NA,NA,"Key Laboratory of Stratigraphy and Palaeontology of the Ministry of Natural Resources, Institute of Geology, Chinese Academy of Geological Sciences, Beijing, China (XW); Hebei GEO University, Shijiazhuang, Hebei Province, China (XW); Geological and Palaeontological Museum ‘Giovanni Capellini’, Bologna, Italy (AC); Center for Interdisciplinary Biosciences, Technology and Innovation Park, University of Pavol Jozef Šafárik, Košice, Slovakia (MK); The Dinosaur Institute, Natural History Museum of Los Angeles County, Los Angeles, CA, USA (LMC);  Hebei GEO University, Shijiazhuang, Hebei Province, China (YW); Jilin University, Changchun, Jilin Province, China (TJ); Jilin University, Changchun, Jilin Province, China (WW)","China; Italy; Slovakia; USA; China",NA,"FALSE",NA
"Analong chuanjieensis","Analong chuanjieensis","Ren et al.","2020","X.-X. Ren, T. Sekiya, and T. Wang, Z.-W. Yang, H.-L. You. 2020. A revision of the referred specimen of Chuanjiesaurus anaensis Fang et al., 2000: a new early branching mamenchisaurid sauropod from the Middle Jurassic of China. Historical Biology","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Analong","72051","414476","Emma Dunne",NA,NA,"dinosauria","valid","Lufeng World Dinosaur Valley, China","China","China","Preserved in-situ for exhibition at Lufeng Dinosaur Valley","LFGT LCD9701-1","location/geography","Chinese (Pinyin)",NA,NA,NA,NA,NA,"""‘long’ means dragon in Chinese Pinyin""","location/geography",NA,NA,NA,NA,NA,NA,NA,"Key Laboratory of Vertebrate Evolution and Human Origins, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, China (XXR); CAS Center for Excellence in Life and Paleoenvironment, Beijing, China (XXR); College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China (XXR); Fukui Prefectural Dinosaur Museum, Katsuyama City, Japan (TS); Bureau of Land and Resources of Lufeng County, Yunnan Province, China (ZWY); Key Laboratory of Vertebrate Evolution and Human Origins, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, China (HLY); CAS Center for Excellence in Life and Paleoenvironment, Beijing, China (HLY); College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China (HLY)","China; Japan; China; China; China",NA,"FALSE",NA
"Jinbeisaurus wangi","Jinbeisaurus wangi","Wu et al.","2020","X.-C. Wu, J.-R. Shi, and L.-Y. Dong, T. D. Carr, J. Yi. 2020. A new tyrannosauroid from the Upper Cretaceous of Shanxi, China. Cretaceous Research 108:104357:1-13","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Jinbeisaurus","73450","424532","Nussaïbah B. Raja",NA,NA,"dinosauria","valid","Yangjiayao, China","China","China","Shanxi Museum of Geology","SMG V000","person",NA,"Suozhu Wang",NA,NA,"China",NA,"""for his great contribution to the vertebrate paleontology of Shanxi Prov-ince, including organizingfield explorations and discovering manyMesozoic fossils of reptiles within the province.""","location/geography","Chinese",NA,NA,NA,NA,NA,"Generic name derived from the Chinese ‘jin’ (the abbreviation of Shanxi Province) and ‘bei’ (north)—the northern part of Shanxi, from which the material was recovered, with the suffix ‘saurus’ from the Latin for ‘lizard’.","Canadian Museum of Nature; Shanxi Museum of Geology; Department of Biology, Carthage College; Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences; University of Chinese Academy of Sciences","Canada; China; USA; China; China",NA,"FALSE",NA
"Garrigatitan meridionalis","Garrigatitan meridionalis","Díez Díaz et al.","2020","V. Díez Díaz, G. Garcia, and X. Pereda Suberbiola, B. Jentgen-Ceschino, K. Stein, P. Godefroit, X. Valentin. 2020. A new titanosaur (Dinosauria: Sauropoda) from the Upper Cretaceous of Velaux-La-Bastide Neuve (southern France). Historical Biology","Chordata","Saurischia","Sauropoda","Lithostrotia","Garrigatitan","74890","430753","Emma Dunne",NA,NA,"dinosauria","valid","La Bastide Neuve, Velaux; Aix-en-Provence Basin, Bouches-duRhône, France","France","France","Musée Moulin Seigneurial/Velaux-La Bastide Neuve, Bouches-du-Rhône, France","MMS/VBN.09.17","location/geography",NA,NA,NA,NA,NA,NA,"""From the Latin word ‘meridionalis’ meaning ‘southern’, for southern France","morphological characteristics","French (Occitan and Provencal)",NA,NA,NA,NA,NA,"""from the  Occitan word ‘garriga’ (‘garrigue’ in  French), which is  derived from the old Provencal word ‘garric’, for a  typically Mediterranean low vegetation composed mainly of drought-resistant shrubs which is abundant in the environment of the  Velaux-La Bastide Neuve locality; and titan, giant in  Greek mythology, a common suffix for titanosaurs""","Museum für Naturkunde, Leibniz-Institut für Evolutions-und Biodiversitätsforschung, Berlin, Germany (VDD); Humboldt Universität zu Berlin, Germany (VDD); Laboratoire de Paléontologie, Evolution, Paléoécosystèmes et Paléoprimatologie (PALEVOPRIM, UMR 7262 CNRS INEE), Université de Poitiers, Poitiers, cedex, France (GG); Facultad de Ciencia y Tecnología, Departamento de Geología, Universidad del País Vasco/Euskal Herriko Unibertsitatea, Bilbao, Spain (XPS); Earth System Science – AMGC, Vrije Universiteit Brussel, Brussels, Belgium (BJC); Evolution & Diversity Dynamics Lab, Liège University, Liège, Belgium (BJC); Directorate ‘Earth and History of Life’, Royal Belgian Institute of Natural Sciences, Brussels, Belgium (KS); Earth System Science – AMGC, Vrije Universiteit Brussel, Brussels, Belgium (KS); Directorate ‘Earth and History of Life’, Royal Belgian Institute of Natural Sciences, Brussels, Belgium (PG); Palaios Association, Valdivienne, France (XV)","Germany; France; Spain; Belgium; Belgium; Belgium; France","Emanuel Tschopp","FALSE",NA
"Dineobellator notohesperus","Dineobellator notohesperus","Jasinski et al.","2020","S. E. Jasinski, R. M. Sullivan, and P. Dodson. 2020. Dromaeosaurid dinosaur (Theropoda, Dromaeosauridae) from New Mexico and biodiversity of dromaeosaurids at the end of the Cretaceous. Scientific Reports 10(5105):1-10","Chordata","Saurischia","Avetheropoda","Dromaeosauridae","Dineobellator","71950","413091","Thomas Wong Hearing","urn:lsid:zoobank.org:act:B1F24B65-F634-4A0A-8263-43E706DFA1E4",NA,"dinosauria","valid","SMP 410b, Bisti/De-na-zin Wilderness, New Mexico, USA","USA","USA","State Museum of Pennsylvania","SMP VP-2430","other","Greek",NA,NA,NA,NA,NA,"Reference to deity and place: ""noto is from the Greek, meaning southern, or south; and the Greek hesper meaning western, in reference to the American Southwest. Additionally, Hesperus refers to a Greek god, namely the personification of the evening star and, by extension, “western.”""","group","Navajo and Latin","Navajo people",NA,NA,"Navajo Nation/USA",NA,"""The generic name is derived from Diné, the Navajo word in reference to the people of the Navajo Nation, and the Latin suffix bellator, meaning warrior""","University of Pennsylvania, Department of Earth and Environmental Science, Philadelphia, PA, 19104-6316, USA; State Museum of Pennsylvania, Section of Paleontology and Geology, 300 North Street, Harrisburg, PA, 17120-0024, USA; Don Sundquist Center of Excellence in Paleontology, Johnson City, TN, 37614-1709, USA; New Mexico Museum of Natural History and Science, 1801 Mountain Road N.W., Albuquerque, NM, 87104, USA;School of Veterinary Science, University of Pennsylvania, Philadelphia, PA, 19104-6316, USA","USA",NA,"FALSE",NA
"Adratiklit boulahfa","Adratiklit boulahfa","Maidment et al.","2020","S. C. R. Maidment, T. J. Raven, and D. Ouarhache, P. M. Barrett. 2020. North Africa's first stegosaur: implications for Gondwanan thyreophoran dinosaur diversity. Gondwana Research 77:82-97","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Adratiklit","72917","422687","Thomas Wong Hearing","urn:lsid:zoobank.org:act:D1BD031A-C902-40AC-88F6-A8ABD0788420",NA,"dinosauria","valid","Boulahfa, south of Boulemane, Fès-Meknes, Morocco","Morocco","UK","Natural History Museum, London, UK","NHMUK PV R37366","location/geography",NA,NA,NA,NA,NA,NA,"""refers to the location where the specimen was found""","location/geography","Berber",NA,NA,NA,NA,NA,"""from ‘Adras’, Berber for ‘mountain’, and ‘tiklit’, a Berber word for lizard""","Department of Earth Sciences, The Natural History Museum, Cromwell Road, London SW7 5BD, United Kingdom; School of Environment and Technology, University of Brighton, Lewes Road, Brighton BN1 4JG, United Kingdom; Laboratoire Géosystèmes, Environnement et Développement Durable, Département de Géologie, Faculté des Sciences Dhar El Mahraz, Université Sidi Mohamed Ben Abdellah, BP 1796, Atlas, 30 000, Fès, Morocco","UK; Morocco",NA,"FALSE",NA
