"taxon_name","accepted_name","ref_author","ref_pubyr","primary_reference","phylum","class","order","family","genus","reference_no","taxon_no","data_enterer","zoobank","ref_language","group","taxon_status","type_locality","type_country","country_reposited","institution_reposited","holotype_number..separate.by...if.multiple.","sp_named_after","sp_language..if.another.language.but.latin.used.","sp_if_person_name","sp_if_person_gender","sp_gender_notes","sp_if_person_country","sp_if_person_country_notes","sp_notes","gen_named_after","gen_language..if.another.language.but.latin.used.","gen_if_person_name","gen_if_person_gender","gen_gender_notes","gen_if_person_country","gen_if_person_country_notes","gen_notes","affiliations_of_authors..separated.by...","countries_of_authors..separated.by...","modified.by","data_from_alternative_source","comments","genus_cleaned","category"
"Aardonyx celestae","Aardonyx celestae","Yates et al.",2010,"A. M. Yates, M. F. Bonnan, and J. Neveling, A. Chinsamy, M. G. Blackbeard. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of The Royal Society B 277(1682):787-794","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Aardonyx",31154,157363,"Thomas Halliday","","English","dinosauria","valid","Marc's Quarry, Spion Kop 932, Senekal","South Africa","South Africa","Bernard Price Institute, University of the Witswaterand","BP/1/6254","person","N/A","Celeste Yates","female","assumed from ending","South Africa","explicitly stated in paper","""who prepared many of the bones""","other","Afrikaans","","","","","","""Earth claw"", referring to the thick hematite encrustation of the bones in the type quarry, particularly the phalanges","South Africa; USA; South Africa; South Africa; South Africa","South Africa; USA; South Africa; South Africa; South Africa","",FALSE,"","Aardonyx","sp"
"Abavornis bonaparti","Abavornis bonaparti","Panteleyev",1998,"A. V. Panteleyev. 1998. [New species of enantiornithines (Aves: Enantiornithes) from the Upper Cretaceous of central Kyzylkum]. Russkii Ornitologicheskii Zhurnal Ekspress Vypusk 35:3-15","Chordata","Aves","Alexornithiformes","Alexornithidae","Abavornis",37008,194803,"William Foster/Nussaïbah B. Raja",NA,"Russian","aves","nomen dubium","Bissekty Formation","Uzbekistan","Russia","Academician F.N. Chernyshev Central Geological Research Museum","TsNIGR Museum No. 56/11915","person","","Jose P. Bonaparte","male","assumed from ending","Argentina","retrieved from external source","In honor of the Argentinean paleontologist Jose P. Bonaparte.","age","","","","","","","From Latin 'abavus', meaning 'great great grandfather'","Russia","Russia","",TRUE,"Genus etymology from Holtz (2011)","Abavornis","sp"
"Abdarainurus barsboldi","Abdarainurus barsboldi","Averianov and Lopatin",2020,"A. O. Averianov and A. V. Lopatin. 2020. An unusual new sauropod dinosaur from the Late Cretaceous of Mongolia. Journal of Systematic Palaeontology 18(12):1009-1032","Chordata","Saurischia","Sauropoda","NO_FAMILY_SPECIFIED","Abdarainurus",71707,407883,"Bryan Gee","urn:lsid:zoobank.org:act:F16D0757-E376-47CD-A5FA-0637A0E9609B","","dinosauria","valid","Abdrant Nuru, northern Gobi Desert","Mongolia","Russia","Paleontological Institute of the Russian Academy of Sciences","PIN 5669/1","person","N/A","Rinchen Barsbold","","","Mongolia","","Mongolian palaeontologist","location/geography","Russian","","","","","","""From Abdarain Nuru, the Russian spelling for the Abdrant Nuru locality, and urus, Latinized Ancient Greek ουρά (the tail).""","Russia; Russia","Russia; Russia","",FALSE,"","Abdarainurus","sp"
"Abditosaurus kuehnei","Abditosaurus kuehnei","Vila et al.",2022,"B. Vila, A. Sellés, and M. Moreno-Azanza, N. L. Razzolini, A. Gil-Delgado, J. I. Canudo, A. Galobart. 2022. A titanosaurian sauropod with Gondwanan affinities in the latest Cretaceous of Europe. Nature Ecology & Evolution","Chordata","Saurischia","NO_ORDER_SPECIFIED","Saltasauridae","Abditosaurus",79613,450822,"Thomas Wong Hearing","urn:lsid:zoobank.org:act:C9CDB600-42D3-4448-910F-5630DEA64A90; urn:lsid:zoobank.org:act:D9EFD886-7FE2-440C-AAC2-C8C88DF035A3","English","dinosauria","valid","Orcau-1, approximately 6 km east of Tremp, Pallars Jussà county, Catalonia, Spain (Fig. 1; coordinates: 42º 9′ 34.1424″ N, 0º 58′ 22.631″ E). The locality (formerly known as ‘Barranco de Orcau’ or ‘Orcau’) was discovered in 1954 by Walter Georg Kühne during fieldwork in the Suterranya-Orcau area (Supplementary Information 2.1)","Spain","Spain","Museu de la Conca Dellà; Museo Nacional de Ciencias Naturales","MNCN 59295; MNCN 59539; MNCN 62760; MNCN 79834; MCD-6749; MCD-6751; MCD9882; MCD-6718; MCD-6729; MCD-6730; MCD-6744; MCD-6745; MCD-6719; MCD-6720; MCD-6986; MCD-6722; MCD-6735; MCD-6738; MCD-6717; MCD-6721; MCD-6725; MCD-6728; MCD-6732; MCD-6733; MCD-6734; MCD-6736; MCD-6746; MCD-6750; MCD-6985; MNCN 59301; MCD-6724; MCD-6715; MCD-6742; MCD-6716; MCD-6747; MCD-6988; MCD-6748); MCD-6731; MCD-6987; MNCN 79837-79838-79848; MCD-6723; MNCN-79847.","person","","Professor Walter Georg Kühne","male","based on paper","Germany","explicitly stated in paper","kuehnei’ honours Professor Walter Georg Kühne (1911–1991), the discoverer of the specimen","other","","","","","","","‘Abditus’, Latin, meaning concealed, because the skeleton was concealed from science for 60 years; ‘sauros’, Greek, meaning lizard","Spain; Spain; Portugal; Portugal; Spain; Spain","Spain; Spain; Portugal; Portugal; Spain; Spain","",FALSE,"","Abditosaurus","sp"
"Abelichnus astigarrae","Abelichnus astigarrae","Calvo",1991,"J. O. Calvo. 1991. Huellas de dinosaurios en la Formación Río Limay (Albiano-Cenomaniano?), Picun Leufú, Provincia de Neuquén, Republica Argentina. (Ornithischia-Saurischia: Sauropoda-Theropoda) [Dinosaur footprints in the Río Limay Formation (Albian-Cenomanian?), Picun Leufú, Neuquén Province, Argentine Republic. (Ornithischia-Saurischia: Sauropoda-Theropoda)]. Ameghiniana 28(3-4):241-258","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Abelichnus",33899,65420,"Thomas Halliday","","Spanish","trace","","Level 2 of the locality. 15km east of Picun Leufu, Neuquen","Argentina","Argentina","Museo de la Universidad Nacional del Comahue","MUCPv 74 (original in situ)","person","","Sr. Santiago Astigarraga","male","based on paper","","","Discoverer of the deposit near Picun Leufu","person","","Professor Roberto Abel","","","","","Director of the Museo Provincial de Rio Negro","Argentina","Argentina","",FALSE,"","Abelichnus","sp"
"Abelisaurus comahuensis","Abelisaurus comahuensis","Bonaparte",1984,"J. F. Bonaparte. 1984. I dinosauri dell’Argentina [.  In G. M. Ronzoni, M. L. Greggio, & T. B. Guarinoni (eds.), Sulle Orme dei Dinosauri","Chordata","Saurischia","NO_ORDER_SPECIFIED","Abelisauridae","Abelisaurus",63573,53945,"William Foster/Nussaïbah B. Raja","urn:lsid:zoobank.org:act:7AEFEE76-372A-46AC-BFA6-689894F2F003","","dinosauria","valid","Lake Pellegrini, Departmento de General Roca, region of Comahue, Rio Negro Province, Patagonia","Argentina","Argentina","Museo de Cipolleti","No. 11098","location/geography","","","","","","","In reference to the region of Comahue, Rio Negro Province, Patagonia, Argentina, where the type material was found.","person","","Roberto Abel","","","","","In honor of Roberto Abel, director of the Museo de Cipolletti, Cipolletti, Argentina, which sponsored that expedition that found the specimen, and Greek, sauros, ""lizard.""","Argentina","Argentina","",TRUE,"Genus etymology from Holtz (2007) appendix","Abelisaurus","sp"
"Aberratiodontus wui","Aberratiodontus wui","Gong et al.",2004,"E. Gong, L. Hou, and L. Wang. 2004. Enantiornithine bird with diapsidan skull and its dental development in the Early Cretaceous in Liaoning, China. Acta Geologica Sinica 78(1):1-7","Chordata","Aves","Yanornithiformes","Yanornithidae","Aberratiodontus",37439,166964,"Thomas Halliday","","English","aves","valid","Shangheshou, Chaoyang, Liaoning (Jiufotang Fm)","China","China","Department of Land and Resources of Liaoning Province","LHV0001a, LHV0001b","person","","Prof. Wu Qicheng","","","China","retrieved from external source","""devoted to the paleontological research of Liaoning Province""","morphological characteristics","Latin","","","","","","literally ""stray tooth"", and the citation is ""refers to the features of the teeth in this bird""","China; China; China","China; China; China","",FALSE,"","Aberratiodontus","sp"
"Abitusavis lii","Abitusavis lii","Wang et al.",2020,"M. Wang, Z.-H. Li, and Q.-G. Liu, Z.-H. Zhou. 2020. Two new Early Cretaceous ornithuromorph birds provide insights into the taxonomy and divergence of Yanornithidae (Aves: Ornithothoraces). Journal of Systematic Palaeontology 18(21):1805-1827","Chordata","Aves","Yanornithiformes","Yanornithidae","Abitusavis",75470,432956,"Emma Dunne","","","aves","valid","Ningcheng Country, Inner Mongolia, China","China","China","Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China","IVPP V14606","person","N/A","Mr Yuntong Li","male","based on paper","China","","""The name is in memory of the late Mr Yutong Li, a IVPP senior technician who dedicated his whole career to the preparation of many important non-avian dinosaur and bird fossils""","other","","","","","","","""‘abitus’ (departure), ‘avis’ (bird).""","China; China; China; China","China; China; China; China","",FALSE,"","Abitusavis","sp"
"Abrictosaurus","","Thulborn",1974,"R. A. Thulborn. 1974. A new heterodontosaurid dinosaur (Reptilia: Ornithischia) from the Upper Triassic red beds of Lesotho. Zoological Journal of the Linnean Society 55:151-175","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Abrictosaurus",14203,NA,"","","","","","","","","","","","","","","","","","","behavioural characteristics","Greek","","","","","","""Wide awake reptile"", in reference to the hypothesis that it did not hibernate (Thulborn believed it did, Hopson did not)","Australia","Australia","",TRUE,"Genus etymology from Holtz (2011) appendix","Abrictosaurus","gen"
"Abrictosaurus consors","Abrictosaurus consors","Thulborn",1974,"R. A. Thulborn. 1974. A new heterodontosaurid dinosaur (Reptilia: Ornithischia) from the Upper Triassic red beds of Lesotho. Zoological Journal of the Linnean Society 55:151-175","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Abrictosaurus",14203,52903,"William Foster",NA,"English","dinosauria","valid","Streamside exposure at the village of Noosi, 5.1 miles east of  Whitehill, southern Lesotho","Lesotho","UK","Department of Zoology, University College London","B54","morphological characteristics","Latin","","","","","","Latin consors (spouse), in allusion to suspected feminine gender of the holotype","behavioural characteristics","Greek","","","","","","""Wide awake reptile"", in reference to the hypothesis that it did not hibernate (Thulborn believed it did, Hopson did not)","Australia","Australia","",TRUE,"case study; Genus etymology from Holtz (2011) appendix","Abrictosaurus","sp"
