old,new,value,order
contributions to paleontology/geology,contributions to paleontology and related fields,375,1
discoverer/collector,discoverer/collector,214,2
funder/donor/land owner,funder/donor/land owner,83,3
museum personnel,museum personnel,49,4
research leader/facilitator,research leader/facilitator,30,5
family/friends/mentor,family/friends/mentor,25,6
hospitality/assistance,hospitality/assistance,12,7
contributions to ornithology,contributions to paleontology and related fields,5,8
group/community,group/community,4,9
mentor/inspiration,family/friends/mentor,3,10
original descriptor,other,2,11
specimen owner,discoverer/collector,2,12
competition winner,other,1,13
contributions to paleontology,contributions to paleontology and related fields,1,14
mentor,family/friends/mentor,1,15
named for self,other,1,16
site discoverer,other,1,17
other,other,58,18
pop culture/literature,other,10,19
famous person,other,6,20
